,loop_detector_ID
0,3
1,5
2,6
3,7
4,13
5,15
6,16
7,17
8,18
9,21
10,23
11,24
12,25
13,26
14,27
15,29
16,31
17,32
18,33
19,35
20,36
21,37
22,38
23,42
24,43
25,44
26,50
27,52
28,53
29,54
30,55
31,60
32,62
33,64
34,66
35,68
36,69
37,70
38,72
39,82
40,84
41,85
42,87
43,89
44,91
45,92
46,93
47,96
48,98
49,99
50,100
51,102
52,104
53,107
54,112
55,113
56,116
57,117
58,118
59,121
60,123
61,131
62,132
63,133
64,134
65,136
66,137
67,138
68,139
69,141
70,143
71,144
72,145
73,146
74,147
75,156
76,157
77,159
78,160
79,161
80,162
81,163
82,165
83,167
84,169
85,170
86,176
87,177
88,179
89,184
90,187
91,192
92,194
93,195
94,196
95,198
96,200
97,202
98,203
99,206
100,208
101,215
102,218
103,220
104,222
105,223
106,224
107,235
108,239
109,240
110,241
111,246
112,258
113,259
114,260
115,262
116,264
117,265
118,267
119,268
120,276
121,277
122,287
123,288
124,300
125,305
126,306
127,310
128,312
129,313
130,314
131,315
132,316
133,317
134,318
135,319
136,320
137,321
138,322
139,325
140,326
141,327
142,329
143,331
144,333
145,336
146,338
147,343
148,344
149,345
150,346
151,362
152,373
153,376
154,377
155,378
156,382
157,384
158,385
159,387
160,388
161,391
162,396
163,397
164,399
165,402
166,407
167,418
168,425
169,426
170,427
171,437
172,438
173,439
174,440
175,449
176,451
177,457
178,460
179,491
180,493
181,497
182,526
183,528
184,532
185,534
186,536
187,539
188,540
189,543
190,544
191,545
192,547
193,549
194,551
195,552
196,554
197,563
198,576
199,577
200,606
201,612
202,616
203,635
204,639
205,640
206,644
207,646
208,649
209,651
210,653
211,654
212,656
213,664
214,667
215,668
216,685
217,686
218,687
219,688
220,689
221,692
222,703
223,704
224,705
225,708
226,712
227,713
228,716
229,742
230,743
231,746
232,747
233,756
234,760
235,762
236,764
237,780
238,782
239,789
240,790
241,791
242,799
243,819
244,821
245,822
246,824
247,825
248,826
249,827
250,828
251,831
252,832
253,834
254,835
255,836
256,839
257,840
258,841
259,843
260,902
261,905
262,917
263,929
264,961
265,962
266,964
267,966
268,967
269,974
270,977
271,982
272,987
273,990
274,995
275,1045
276,1051
277,1053
278,1054
279,1057
280,1058
281,1118
282,1119
283,1122
284,1123
285,1126
286,1129
287,1135
288,1138
289,1139
290,1140
291,1141
292,1145
293,1146
294,1147
295,1148
296,1149
297,1195
298,1196
299,1199
300,1232
301,1282
302,1287
303,1293
304,1295
305,1428
306,1431
307,1437
308,1439
309,1443
310,1479
311,1482
312,1483
313,1485
314,1486
315,1501
316,1504
317,1506
318,1539
319,1541
320,1549
321,1552
322,1589
323,1662
324,2277
325,6012
326,6015
327,6016
328,6018
329,6019
330,6020
331,6021
332,7023
333,7052
334,7055
335,7056
